title,company,description,location,onsite_remote,employment_type,seniority_level,job_function,industries,salary,posted_date,link
Data Analyst,Agility Partners,"About this RoleAgility Partners is looking for a Data Analyst to join our client's innovative and forward-thinking Data Services team. In this role, you will:Be a part of the team spear-heading the S4/Anaplan Data project Gather, clean, enrich, and transform data to support internal and external clientsForm a deep understanding of various data sets to support client reporting and analytics, operational/ financial processes, and ongoing cleansing and validationProvide quality advice to stakeholders and ensuring analysis and deliverables are produced by the team to approved standardsBenefits and PerksOur client cares about their associates, their clients, and the community. They think big, encourage innovation and debate, and seek out game changers. They are constantly growing, and want their associates’ careers to grow along with them. They have an open and modern work environment, believe in flexibility, and promote a collaborative open-door environment. In this role, you will have:Fully remote workWork with a company whose core values include passion, accountability, collaboration, and humility.Robust healthcare plans include medical, prescription, vision, 24/7 telemedicine coverage, and dental.Long-term disability and life insurance also protect you and your family's financial security.The Ideal Candidate3+ years of experience in data analyst or similar role and the following qualifications:Experience writing SQL queries (Microsoft SQL Server)Strong data profiling skillsStrong technical aptitude - able to work closely with Data EngineersExperience working on data-focused projectsSAP experience is a plus!",United States,remote,Contract,Mid-Senior level,Information Technology,IT Services and IT Consulting,"$40.00
            -
            $50.00",01/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-agility-partners-3339536100?refId=i90Urwyy4HkDMHgpM3Ht3Q%3D%3D&trackingId=O7r2HYgmjCsPkOyDxi%2FBtQ%3D%3D&position=10&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,M&S Consulting,"M&S (which stands for Management and Solutions) was conceived in 2002 with the vision of creating highly effective teams of elite consultants to deliver strategic process and technology solutions to enterprise organizations across the US. Our commitment to delivery in complex environments and long-term customer success has merged process and technology into innovative solutions, established deep pockets of expertise, and enabled innovative transformation for evolving businesses.We have intentionally cultivated steady growth focused on being approachable and helpful to our dearly valued clients and closely cared-for employees. M&S people simply “care hard”, and this reflects in our work products, our interactions, and our culture. Job Responsibilities: Responsible for requirement gathering, documentation of requirements, translation of requirements into system solutions and developing implementation plans per schedule.Create ETL mapping documents Performs data collection, analysis validation and reportingDesigns, tests, and documents processes, SQL queries, and stored proceduresExtracts and analyzes data from various sources and processes, and validates data components, as requiredCreates and publishes regularly scheduled and as hoc reportsDocuments reporting and dashboard requirements and processes, and validates data components, as requiredInterprets data, analyze results using statistical techniques, and provide ongoing reportsAcquire data from primary or secondary data sources and maintain databases/data systemsIdentify, analyze, and interpret trends or patterns in complex data setsLocate and define new process improvement opportunities Required Skills: Experience creating ETL specification documents & creating flowcharts, process workflows and data flow diagrams.Strong analytical skills with the ability to collect, organize, analyze, and disseminate significant amounts of information with attention to detail and accuracyStrong knowledge of the experience with reporting/data visualization tools (Tableau, Power BI etc), databases (MySQL etc), and statistical packages (R, STATA, SPSS etc)Strong preference for candidates that can learn on the job and integrate with new systemsStrong analytical and organizational skills also essentialNegotiation and conflict management skillsInfluencing skills and respect within the organizationAbility to manage multiple tasks in a fast-paced environmentTechnical expertise regarding data models, database design, data mining, and statistical techniquesM&S Consulting proactively fulfills its role as an equal opportunity employer. We do not discriminate against any employee or applicant for employment because of race, color, sex, religion, age, sexual orientation, gender identity and expression, national origin, marital status, physical or mental disability, status as a protected veteran, or any other characteristic protected by law.Powered by JazzHRKWxFUUyBi3","Charlotte, NC",remote,Full-time,Mid-Senior level,Information Technology,IT Services and IT Consulting,,01/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-m-s-consulting-3339081565?refId=i90Urwyy4HkDMHgpM3Ht3Q%3D%3D&trackingId=XAC7haZaIj5Ju3rvN5cSLw%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst - Energy,Analytic Recruiting Inc.,"An industry leader in optimizing the performance of clients in the global energy market is seeking a Data Analyst - Energy to provide data-driven, strategic insight across the energy industry. This would help their clients and lead to greater reliability, efficiency and profitability.Salary: Up to 102k base + 8% bonusLocation: Houston, TX or Dallas, TXVisa sponsorship IS AVAILABLEResponsibilities:Provide efficient handling and meaningful analysis of large amounts of confidential client dataGenerating customer reporting, and perform data analysis and results interpretation.Improving analysis methodologies and participate in the preparation of benchmarking and other studiesAssess and apply source information related to operating costs, production efficiency, and technical data by analyzing operational performance and identifying performance gapsAssist client data preparation, identify best practices, interpret resultsUnderstand and map client data from raw format to recharacterizationAnalyzes the client cleansed data using various data analysis tools on the performance of the client’s assets and issuesCreate charts and tables to support projects and follow-up analysisRequirements:Bachelor’s degree in Engineering, Economics, Finance or related2+ years of experience in data analysis2+ years of SQL experienceExperience in statistical modelingExperience organizing structuring data for analysis in Tableau, PowerBI, Excel, and other analytical toolsExperience extracting and transforming data from Oracle, SQL Server, Microsoft Access, or other data systemsAdvanced data and economics analysisCommunication Skills—Interpersonal and communication skills including excellent verbal, written, and presentation skills","Houston, TX",hybrid,Full-time,Mid-Senior level,Analyst,Oil and Gas,"$80,000.00
            -
            $102,000.00",01/11/2022,https://www.linkedin.com/jobs/view/data-analyst-energy-at-analytic-recruiting-inc-3297491154?refId=NJIdipplhIxbwKSgCe6N9g%3D%3D&trackingId=G7Ghtk9alldBox9ukhecnA%3D%3D&position=9&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Brooksource,"Junior Data AnalystMorris Plains, NJ (Hybrid Remote - Must commute to office 3x/week)12-month CTHAs the Jr. Data Analyst, you will analyze data to promote product sales and growth alongside a fast-expanding medical product analytics team of a Fortune 15 company. You will manipulate data surrounding a pharmaceutical product that is designed to help reduce costs for clients and increase the value, health and safety of patients. You will be responsible for the data cleansing of massive datasets in a Teradata database utilizing SQL. This is a great opportunity to be mentored and trained on new technologies in an agile environment.Minimum Qualifications:· Bachelor’s degree in Statistics, Informatics, Computer Science, Mathematics or related field· Solid understanding and hands on experience with SQL· Proven ability to tell a data story through visualization tools specifically Tableau· Data Presentation experience through classroom or internship projects· Passion for Healthcare analytics Responsibilities:· Write SQL to extract, manipulate and format data from Teradata platform· Analyze pharmaceutical and product data and visualize this analysis within Tableau dashboards· Pull data and listen to needs of Product Owners to support the value and sale of products and overall growth of the company· You will be paired with senior technology leaders to learn the environment and be trained on new technologies What’s In It For You? · Opportunity to start your career at a Fortune 15 Healthcare Company· You will be trained and mentored by senior technologists· You will attend networking events with senior leadership· Weekly paychecks","Morris Plains, NJ",hybrid,Full-time,Entry level,Information Technology and Engineering,IT Services and IT Consulting,"$28.00
            -
            $30.00",02/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-brooksource-3335327939?refId=8AL02sZHqq3Vwfsg0QrJWg%3D%3D&trackingId=3tIWvmyJXiQNYl51FVnayw%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,EG Life Sciences,"We have an excellent job opportunity available for a Data Analyst with our Pharma client in Raynham.Responsibilities of the Data Analyst:Support gathering, verifying, and delivering product data under EU MDR regulationsLeverage Excel expertise to perform data cleansing, validation, and verification as needed in support of data gatheringSolve problems on areas of data gathering and integrityCreate tracking report for data collected and sharedRequirements of the Data Analyst:Advanced user of Excel including:Use Named Ranges and Tables to automate your analysis.Understand the different types of data in Excel and use appropriate functions to work with them.Use logical and lookup functions to transform, link and categorize data, examples:SUMIF/SUMIFSCOUNTIF / COUNTIFSData FiltersData SortingPivot Tables, Vlookup, Index and Match specific to Excel documentSQL, Data Visualization, Dashboarding, PythonPlease be advised- If anyone reaches out to you about an open position connected with Eliassen Group, please confirm that they have an eglifesciences.com email address and never provide personal or financial information to anyone who is not clearly associated with EG Life Sciences. If you have any indication of fraudulent activity, please contact InfoSec@eliassen.com. Job ID: 371960","Morgan Hill, CA",hybrid,Contract,Mid-Senior level,Information Technology and Analyst,Business Consulting and Services and Pharmaceutical Manufacturing,,03/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-eg-life-sciences-3336326817?refId=x4SraviXXEq66S%2FaFgArkg%3D%3D&trackingId=alMpEQ%2BfASxweeF8T3Y51g%3D%3D&position=15&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Resilience,"About UsResilience is the next-generation cyber risk company that’s on a mission to help make the world cyber resilient.Founded in 2016 by experts from across the highest tiers of the US military and intelligence communities, augmented by prominent leaders and innovators from the insurance and technology industries, the privately-held firm is rewriting the rules of how cyber risk is assessed and managed for middle to large market enterprises. Rooted in decades of experience, Resilience helps financial, risk, and information security leaders continuously improve their organizations' cyber resilience by connecting cyber insurance coverage with advanced cybersecurity visibility and a shared plan to reinforce actionable cyber hygiene.Resilience is proud to be backed by leading technology investment firms including General Catalyst, Lightspeed Venture Partners, Intact Ventures, Founders Fund, CRV, and Shield Capital. With headquarters in San Francisco, Resilience’s team is globally dispersed, with offices in New York, Chicago, Baltimore, Toronto, and London. Resilience offers insurance coverage through its licensed and appointed insurance agency and security services through its expert security team.For more information, visit us at www. cyberresilience.comWe are seeking a data analyst who is eager to apply their analytics expertise to a brand new platform that will drive insights and enable data-driven decisions across the organization. We prefer candidates with proven quantitative ability and potential as well as some data analysis experience. Our data scientists and data engineers are eager to work with a new teammate who can grow their own career as we grow our company. This position is full-time. We prefer candidates who are located on the East Coast close to New York City or Baltimore.ResponsibilitiesImplement analytics in cyber insurance through business intelligence tooling.Become an expert on the data inputs and outputs in our processing pipelines and perform basic data quality checks.Help technical and non-technical teams develop reporting and analytics across various datasets.Build and present business intelligence reports and data analytics visualizations and dashboards to internal and external stakeholders.Collaborate with product managers, business stakeholders, data scientists, and engineers to help the team deliver quality products.QualificationsYou have a degree in a quantitative field, such as Data Science, Analytics, Mathematics, or Statistics.You’re familiar with relational databases, SQL, and have some data analysis experience.You like working with large datasets and have experience in building out meaningful analysis through business intelligence tools like Looker or Tableau.You’re interested in learning about new industries and new technologies.You're capable of executing creatively on open-ended projects.We get excited about candidates with...Experience or knowledge of the Cybersecurity or Insurance industries.Experience working at a startup and/or on a product development team.Experience with exploring data using Python.What Resilience Offers YouOur comprehensive package: competitive salary, stock options, bonus structure and a 401K plan.We understand you need time off to recharge. Our employees are given unlimited PTO, that they are actually encouraged to use!Flexible work environment and a remote first work culture. Resilience also has offices in San Francisco, Chicago, New York and Baltimore for local and traveling employees.Resilience offers competitive health plans for employees.As a quickly growing company, we are able to offer employees professional development and career growth opportunities.Connection: interest driven Slack channels help to keep our remote workforce connected with one another (#foodies, #pets, #fitness), as well as company off-site events.Accommodations and AccessibilityWe want to ensure you're able to perform as well as possible in your interview. As part of that, if you have any accessibility-related needs to ensure a comfortable visit, please let us know. We'll do our best to provide reasonable accommodations to suit your working style during your interview and if you join our team.If you require a reasonable accommodation in completing this application, interviewing, completing any pre-employment testing, or otherwise participating in the employee selection process, please direct your inquiries to: Natalie Venice at natalievenice@resilienceinsurance.com.",United States,remote,Full-time,Entry level,Information Technology,IT Services and IT Consulting,,03/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-resilience-3341040015?refId=SQejusk%2BFROxsFXcfp9Brg%3D%3D&trackingId=vkpbZbzzkO2dEg5RwxtTsQ%3D%3D&position=5&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,ReachMobi,"About UsAt ReachMobi, data drives all our decision-making. Data Analysts work across all aspects of their App Studio to help shape the future of the product by processing, analyzing and interpreting huge data sets. Using analytical excellence and statistical methods, you mine through data to identify opportunities for growth, from enhancing advertising efficacy to studying user behavior. Identifying the problem is only half the job; you also figure out the solution and analyze the results.Primary duties include:·Work with Engineers, Product Leaders, and Marketing teams to shape the direction of the product according to your findingsMake business recommendations with effective presentations of findings at multiple levels of stakeholders through visual displays of quantitative informationResearch and develop analyses, forecasting and optimization across ads quality, search quality, end-user behavioral modeling, and live experimentsDeep funnel analysis of data behind core key performance indicators to find the drivers and levers behind the top line numbersThe successful candidate will be an inspiring and confident leader with at least:2+ years of analysis experiencePractical experience with Excel (pivot tables, vlookup, visualization, etc)Strong understanding of SQL QueryingExperience articulating business questions and using mathematical techniques to arrive at an answer using available dataAbility to select the right statistical tools given a data analysis problem.Why ReachMobi?We offer a fun, work hard – play hard cultureNo dress code policy! Wear your flip flops and shorts in the summerHybrid scheduleUnlimited Paid Time Off along with 10 paid holidays401k match up to 4%Employer Sponsored Health/Vision/DentalFlexible Spending AccountsLife Insurance, AD&D, STD and LTD 100% employer paidSponsorship availableComplimentary snacks, beverages, beer fridge, as well as catered lunchesLocated next to world-class shopping and restaurantsRegular company-sponsored social events to connect with your team and fellow colleagues! - check out our Instagram to see moreThis is an opportunity to be with an industry leading company that continues to experience tremendous growthReachMobi lives at the junction where the science of cutting-edge technology meets with audience engagement to create a new and powerful force that fosters real, long-term relationships with users. We pride ourselves on leading the industry in mobile engagement and monetization. We’ve gathered a “one-for-all” minded, world-class team of innovative developers, marketing ninjas, imaginative designers and content developers whose zeal for what they do is slightly north of fanatical. Seriously… obsessive.","Philadelphia, PA",hybrid,Full-time,Mid-Senior level,"Information Technology, Analyst, and Marketing","Advertising Services and Technology, Information and Internet",,03/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-reachmobi-3322681934?refId=NJIdipplhIxbwKSgCe6N9g%3D%3D&trackingId=SbeNGyoGD5s81GWKbiaswA%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,Gridiron IT,"Gridiron IT is seeking a Data Analyst local to Washington, DC with an active Secret clearance. Analyst assists the Government with the identification and analysis of programming alternatives. Includes the analysis of past programming decisions to identify issues of resourcing, performance, and achievement of planning guidance. Support the G-6 Resourcing Integration and Budget Division (DANI-RIP).Assist government in identifying and analyzing programming alternatives to facilitate accurate and defendable budget submissions.Inspect, cleanse, transform, and model data from multiple government financial systems.Develop dashboards supported by in-depth analysis of fiscal information that provides senior leadership the data necessary to make informed resourcing decisions.Utilize Army resourcing strategies, programming guidance and DoD and Army investment and resourcing systems to include the Army Portfolio Management Solution (APMS) and cPROBE for data analysis and development of recommended courses of action for senior leadership.Analyze large amounts of information from multiple sources to discover trends and patterns related to programming and execution of funds.Deliver quick turnarounds on data taskers and make thorough explanations to help guide senior leadership in the formulation of the CIO-G6 Budget.Develop and present detailed data briefings and demonstrate data processes to cross functional teams. Supported Technologies: GFEBS Oracle BI reportingSNAP-ITSuite of Microsoft Office Products (Expertise in Excel)Army Portfolio Management Solution (APMS)cPROBE (Tableau based system)Microsoft Power BIRequired Skills and Qualifications:Current DOD Secret clearance.Bachelor’s Degree (Computer Science, Economics, Finance, Statistics, or related field)Three years’ experience developing, implementing, and/or evaluating DoD budgets.Hands on experience utilizing APMS, cPROBE in the development of budgets.Experience with developing and/or managing actions associated with DOD’s Planning, Programming, and Budget Execution processes.Possess strong analytical, interpersonal, and presentation skills and the ability to contribute effectively to working groups through oral and written communication.The ability to effectively manage time and deliverables in order to complete tasks on time.The ability to deliver functional reporting solutions in both an independent and team environment.Must be motivated, self-directed and be able to work independently.A strong work ethic, setting high standards for self and others, while demonstrating enthusiasm for the mission of the team.Technical knowledge regarding data models, data base design development and data mining.The ability to create advanced formulas in excel in order to automate some of the data cleansing processes.Ability to deal with ambiguity and competing objectives in a fast-paced environment. Desired Skills and Qualifications:Experience as an Operations Research Analyst supporting the Army, other services, or federal agencies.Experience as a staff officer in a DOD, Joint Staff, Unified Command Staff, Service Staff headquarters. Preferably in the J8, G8, Comptroller arena.Strong Data Visualization skills.A basic understanding of programing.Demonstrate willingness to support the team on all levels in order to get the job done.","District of Columbia, United States",hybrid,Contract,Associate,Analyst,Staffing and Recruiting,"$120,000.00
            -
            $130,000.00",04/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-gridiron-it-3345534205?refId=x4SraviXXEq66S%2FaFgArkg%3D%3D&trackingId=1xu8rQIcy8sptTYVTz%2F1CQ%3D%3D&position=18&pageNum=0&trk=public_jobs_jserp-result_search-card
Marketing Data Analyst,BayOne Solutions,"Data Analyst (Ads Operations Specialist)Interview- Video Position- Contract (Long term)Remote role  Job DescriptionDay to Day Responsibilities of this Position and Description of Project:Job Description:Day to Day responsibilities:• Gather unstructured data(seller feedback and verbatim) for internal feedback tool through various sources by automation as well as manual aggregation. Project Management • Create Tableau dashboards for qualitative and quantitative data surveys.• Create unstructured dashboards using XM Discover Qualtrics tool for various PMs by understanding their use cases.• Provide ad-hoc analytics support • Collaborate with Analytics to complete projects like Funnel Analysis for measuring drop off points and prepare hypothesis for understanding seller churn.Primary Skills: Marketing Data Analysis, SQL Queries, Excel, Advertising, B2B, B2C or E-Commerce, Statistical Methodology; Multivariate Analysis, Funnel analysis and TableauAbility to dig deep into data and come up with data/proof pointsQualifications:Background in Statistics, Economics or Engineering.Strong SQL or scripting skills. Be the data evangelist that works with product managers, engineers, data scientists and other product analysts to make sure we make the best use of available data to drive product features that support our objectives.Project Management skills.Experience creating dashboards and reports in Tableau/Excel to analyse dataAnalyse and draw insights to understand user sentiment by leveraging quantitative and qualitative customer survey dataExperience in coming up with metrics to better understand product healthExperience working independently in a cross-functional team, including geographically dispersed partners is a bonus.Experience in Advertising, B2B, B2C or E-Commerce is preferred.",United States,remote,Contract,Mid-Senior level,"Information Technology, Marketing, and Analyst","IT Services and IT Consulting, Advertising Services, and Technology, Information and Internet","$40.00
            -
            $45.00",04/11/2022,https://www.linkedin.com/jobs/view/marketing-data-analyst-at-bayone-solutions-3337767196?refId=sZjuIE2CFaMinVMiFEjf%2Fw%3D%3D&trackingId=%2F1uvTWVv9z1gnNQS2iizTw%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card
Data Analyst,The Judge Group,"What are the top 5-10 responsibilities for this position (please be detailed as to what the candidate is expected to do or complete on a daily basis)?Analyze raw data sources and data transformation requirements and perform data analytics and modeling against large data sets Analyze business requirements & functional specifications Able to determine the impact of changes in current functionality of the system Interaction with diverse Business Partners and Technical Workgroups Build and leverage healthcare domain knowledge Design data solutions based on high-level architecture Database architecture, engineering, design, optimization, security, and administration; as well as data modeling, big data development, Extract, Transform, and Load (ETL) development, storage engineering, data warehousing, data provisioning and other similar roles May design schemas, write SQL or other data markup scripting and helps to support development of Analytics and Applications that build on top of data","Minneapolis, MN",hybrid,Contract,Executive,Engineering and Information Technology,Staffing and Recruiting,,07/11/2022,https://www.linkedin.com/jobs/view/data-analyst-at-the-judge-group-3311001581?refId=Ky4jC0cuJPhJphngkJkcXA%3D%3D&trackingId=p%2BEgW4xy9fo7HrUTCbl%2B5g%3D%3D&position=14&pageNum=0&trk=public_jobs_jserp-result_search-card
